repo	stars	language	id	name	version	min_herdr	platforms	path	description	url
Volpestyle/herdr-plugin-mermaid-preview	2	JavaScript	dev.volpestyle.mermaid-preview	Mermaid Preview	0.1.0	0.7.1	macos,linux	herdr-plugin.toml	Render Mermaid blocks from Claude Code and Codex in a live Herdr preview pane	https://github.com/Volpestyle/herdr-plugin-mermaid-preview
vonzelle-vzt/herdr-extensions	2	Shell	herdr-extensions	herdr-extensions	0.18.0	0.7.0	linux,macos	plugin/herdr-plugin.toml	Tiny VS Code for herdr: editor + lazygit + problems/search/todo/blame/markdown/tests panels.	https://github.com/vonzelle-vzt/herdr-extensions
Yemeni/herdr-agent-timer	2	Shell	yemeni.agent-timer	Agent Timer	0.2.1	0.7.0	linux	herdr-plugin.toml	Alternate agent status labels with a reboot-safe elapsed timer	https://github.com/Yemeni/herdr-agent-timer
yuucu/herdr-hunk	2	Go	yuucu.hunk	Hunk Review	0.4.1	0.7.0	macos,linux	herdr-plugin.toml	Review agent-authored diffs with Hunk without leaving herdr	https://github.com/yuucu/herdr-hunk
abrose/herdr-url-picker	1	Shell	url-picker	URL Picker	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Pick a URL printed in the current pane with fzf and open it in the default browser.	https://github.com/abrose/herdr-url-picker
aclima01/herdr-edit-windows	1	Rust	aclima.edit	herdr-edit	0.1.4	0.7.0	windows	herdr-plugin.toml	A simple text editor in a herdr pane: file tree, syntax-highlighted editor, and an uncommitted-diff tab. Windows-only.	https://github.com/aclima01/herdr-edit-windows
aclima01/herdr-powershell-title-sync	1	PowerShell	aclima.powershell-title-sync	PowerShell Title Sync	0.1.0	0.7.0	windows	herdr-plugin.toml	Sync the outer terminal title to the focused herdr workspace, tab, and agent session (Windows/PowerShell, no runtime).	https://github.com/aclima01/herdr-powershell-title-sync
aclima01/herdr-todos-windows	1	PowerShell	aclima.herdr-todos-windows	Agent TO-DOs for Windows	0.1.0	0.7.0	windows	herdr-plugin.toml	A live panel of the focused agent's task list (TaskCreate/TaskUpdate) so you can follow its plan.	https://github.com/aclima01/herdr-todos-windows
agustinvalencia/herdr-jump	1	Go	agustinvalencia.herdr-jump	Herdr Jump	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Separate overlay pickers for herdr spaces and agents. Two pop-ups: one lists your spaces (workspaces), one lists your agents with live status colours — pick to jump. Unlike the combined session navigator, agents and spaces are browsed independently.	https://github.com/agustinvalencia/herdr-jump
aleslanger/herdr-strays	1	Rust	aleslanger.strays	strays	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Which files strayed from HEAD — see the diff, jump to your editor.	https://github.com/aleslanger/herdr-strays
alexjsp/herdr-scrollback-capture	1	Shell	alexjsp.scrollback-capture	Scrollback Capture	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Capture the focused pane's scrollback and save it as an HTML or text file.	https://github.com/alexjsp/herdr-scrollback-capture
allmight-ai/herdr-pet	1	Rust	allmight-ai.herdr-pet	Herdr Pet	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Companion V-Pet — espelha o status e a tarefa do seu agente de código.	https://github.com/allmight-ai/herdr-pet
alon-z/herdr-command-palette	1	JavaScript	alonz.command-palette	Command Palette	0.1.0	0.7.0	macos,linux,windows	herdr-plugin.toml	Fuzzy-pick open Herdr workspaces and configured project directories. Focus existing workspaces or create one for the selected directory.	https://github.com/alon-z/herdr-command-palette
Angel-O/herdr-agent-resume	1	Rust	angel-o.agent-resume	Agent Resume	0.1.0	0.7.5	macos,linux	herdr-plugin.toml	Insert or copy resume commands for OpenCode, Codex, Claude Code, and Factory Droid.	https://github.com/Angel-O/herdr-agent-resume
Angel-O/herdr-tab-numbers	1	Rust	angel-o.tab-numbers	Tab Numbers	0.1.0	0.7.5	macos,linux	herdr-plugin.toml	Keep tab titles prefixed with their position in each workspace.	https://github.com/Angel-O/herdr-tab-numbers
anrunt/herdr-pi-reloader	1	Rust	herdr-pi-reloader.pi-reloader	Herdr Pi Reloader	0.1.2	0.7.4	linux,macos	herdr-plugin.toml	Reload or restart idle Pi agent sessions from a Herdr popup	https://github.com/anrunt/herdr-pi-reloader
astkaasa/herdr-tokscale-dashboard	1	Shell	tokscale.dashboard	Tokscale Dashboard	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	Open Tokscale as a local Herdr dashboard pane.	https://github.com/astkaasa/herdr-tokscale-dashboard
asumaran/herdr-goto	1	Go	asumaran.goto	goto	0.8.0	0.7.5	macos	herdr-plugin.toml	Tree-style switcher across herdr repos, worktrees and panes	https://github.com/asumaran/herdr-goto
benkraus/herdr-plugin-codex-subs	1	Go	benkraus.codex-subs	Codex Subs	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	Read this host's CLIProxyAPI Codex subscriptions and show every quota window, reset time, and expiring reset credit.	https://github.com/benkraus/herdr-plugin-codex-subs
blurname/herdr-git-tab-name	1	Shell	blurname.git-tab-name	Git Tab Name	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Rename the active Herdr tab to the focused pane's Git branch.	https://github.com/blurname/herdr-git-tab-name
bon5co/bermuda	1	Go	bon5co.bermuda	Bermuda	2.4.1	0.7.0	linux,macos	herdr-plugin.toml	Agent harness: schedules work and runs each job as an interactive Herdr agent	https://github.com/bon5co/bermuda
BowlOfSoup/herdr-stoplight	1	Go	herdr-stoplight	Stoplight	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Aggregate traffic-light status for all your herdr agents, on an Arduino.	https://github.com/BowlOfSoup/herdr-stoplight
btorresgil/herdr-hermes-session-title	1	Python	hermes.session-title	Hermes Session Title Metadata	0.1.1	0.7.0	linux,macos	herdr-plugin.toml	Publish Hermes session titles as a Herdr custom metadata token.	https://github.com/btorresgil/herdr-hermes-session-title
carsonjones/herdr-plugin-tiles	1	Python	local.tiles	Tiles	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Tile the current pane into common proportions. Each pair has a flip.	https://github.com/carsonjones/herdr-plugin-tiles
ChmaraX/herdr-gitview	1	Rust	chmarax.gitview	gitview	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Two-pane git view: changed files + diff, Enter opens nvim	https://github.com/ChmaraX/herdr-gitview
chouxcreams/herdr-dashboard	1	Rust	chouxcreams.herdr-dashboard	PR Dashboard	0.1.0	0.7.5	linux,macos	herdr-plugin.toml	PR status dashboard for herdr workspaces	https://github.com/chouxcreams/herdr-dashboard
chouxcreams/herdr-url-picker	1	Shell	chouxcreams.url-picker	URL Picker	0.1.0	0.7.5	linux,macos	herdr-plugin.toml	Pick a URL from the focused pane and open it in your browser	https://github.com/chouxcreams/herdr-url-picker
ChrisPachulski/session-sounds	1	Rust	chrispachulski.session-sounds	Session Sounds	1.0.0	0.7.4	linux,macos	herdr-plugin.toml	Give each Herdr agent session a stable sound identity and hear when background work completes or blocks.	https://github.com/ChrisPachulski/session-sounds
CodyBontecou/herdr-telemetry-bridge	1	JavaScript	local.herdr-telemetry-bridge	Herdr Telemetry Bridge	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Emit Herdr workspace, pane, agent, repo, model, and trace-summary telemetry to external clients.	https://github.com/CodyBontecou/herdr-telemetry-bridge
crexi/herdr-worktree-copy	1	Shell	crexi.worktree-copy	Worktree Copy	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Copy and symlink paths from .worktree-copy after Herdr creates a worktree	https://github.com/crexi/herdr-worktree-copy
danbuhler/herdr-pane-topic-sync	1	JavaScript	dan.pane-topic-sync	Pane Topic Sync	0.2.1	0.7.0	macos,linux,windows	herdr-plugin.toml	Rename each agent pane to its live topic (terminal_title_stripped) and name each tab after its first pane's topic.	https://github.com/danbuhler/herdr-pane-topic-sync
dantehemerson/herdr-last-tab	1	Rust	dantehemerson.last-tab	Last Tab	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Toggle between the current and previously focused Herdr tab.	https://github.com/dantehemerson/herdr-last-tab
ddfonseca/herdr-paste-image	1	Shell	herdr-paste-image	Herdr Paste Image	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Save the clipboard image to a file and paste its path into the focused pane	https://github.com/ddfonseca/herdr-paste-image
edmundmiller/herdr-plugin-dotfiles-github-link-preview	1	Python	dotfiles.github-link-preview	Dotfiles GitHub Link Preview	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Preview GitHub issue and pull request links in a Herdr side pane using gh.	https://github.com/edmundmiller/herdr-plugin-dotfiles-github-link-preview
eliasstravik/herdr-call	1	TypeScript	herdr-call	Herdr Call	0.1.0	0.8.0	macos,linux	herdr-plugin.toml	Talk to and manage Herdr sessions through a private ElevenLabs voice call.	https://github.com/eliasstravik/herdr-call
Elio2000/herdr-peer-review	1	Shell	herdr-peer-review	Peer Review	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Open a second coding agent in a herdr pane and have it review your diff — watchable, auto-approve, read-only. Ships a Claude Code skill for the fully autonomous review↔revise↔decide loop.	https://github.com/Elio2000/herdr-peer-review
elliotekj/herdr-easymotion	1	JavaScript	com.elliotekj.herdr-easymotion	Herdr EasyMotion	0.1.0	0.7.4	linux,macos,windows	herdr-plugin.toml	Jump directly between visible panes in the active Herdr tab.	https://github.com/elliotekj/herdr-easymotion
Feasy01/herdr-allow	1	Shell	herdr-allow	Herdr Allow	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Copy gitignored files listed in .herdr-allow (.env, secrets, local configs) into newly created worktrees.	https://github.com/Feasy01/herdr-allow
GavinTomlins/herdr-oh-my-agent	1	TypeScript	gavintomlins.herdr-oh-my-agent	Oh My Agent Subagent Panes	0.2.0	0.7.5	macos,linux	herdr-plugin.toml	Mirror every oh-my-openagent subagent delegation into its own Herdr pane or tab, live, with full session scrollback	https://github.com/GavinTomlins/herdr-oh-my-agent
go-min/herdr-fwd	1	Rust	herdr.fwd	Herdr Fwd	0.1.5	0.8.0	linux,macos	herdr-plugin.toml	Discover localhost dev servers in remote Herdr panes and request local SSH forwards	https://github.com/go-min/herdr-fwd
gw31415/herdr-amphetamine-macos	1	Python	amphetamine-macos	Amphetamine macOS Sleep Guard	0.2.0	0.7.0	macos	herdr-plugin.toml	Session-scoped LaunchAgent keeps macOS awake with Amphetamine while herdr agents work; controlled via an interactive TUI.	https://github.com/gw31415/herdr-amphetamine-macos
hexsprite/herdr-beads	1	Shell	beads.popover	Beads Popover	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Ctrl-click a bead ID in any pane to see its details without leaving the pane.	https://github.com/hexsprite/herdr-beads
HikaruEgashira/say-hook	1	TypeScript	hikaruegashira.say-hook	Say Hook	0.4.2	0.7.0	macos	herdr/herdr-plugin.toml	Speak the agent's opening excerpt via say-hook when a Herdr agent finishes or gets blocked.	https://github.com/HikaruEgashira/say-hook
hkdom/herdr-telegram-gate	1	JavaScript	telegram-gate	Herdr Telegram Gate	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Telegram approval inbox + risk-tiered auto-approval for your herdr fleet — blocked agents surface as Telegram cards with Approve/Deny buttons	https://github.com/hkdom/herdr-telegram-gate
hmu332233/herdr-plugins-labs	1	JavaScript	dev.minung.quick-agent	Quick Agent	0.2.0	0.7.4	linux,macos	quick-agent/herdr-plugin.toml	Launch Codex or Claude beside the launch origin pane.	https://github.com/hmu332233/herdr-plugins-labs
hmu332233/herdr-plugins-labs	1	JavaScript	dev.minung.space-stats	Space Stats	0.1.0	0.7.4	linux,macos,windows	space-stats/herdr-plugin.toml	Expose workspace tab, pane, and agent counts as Space sidebar metadata.	https://github.com/hmu332233/herdr-plugins-labs
hmu332233/herdr-plugins-labs	1	JavaScript	dev.minung.space-tab-count	Space Tab Count	0.1.0	0.7.4	linux,macos,windows	space-tab-count/herdr-plugin.toml	Expose workspace tab counts as Space sidebar metadata.	https://github.com/hmu332233/herdr-plugins-labs
iamhouser/herdr-claude-usage-multi	1	Python	houser.claude-usage	Claude Usage	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	Claude plan usage gauges on every space row (Session/Week %, color escalation, countdown to reset when a limit is exhausted). Multi-account aware: workspaces show the Claude profile their panes actually run. The exact numbers Claude Code shows in /status.	https://github.com/iamhouser/herdr-claude-usage-multi
ImArtisann/herdr-workspace-launcher	1	TypeScript	herdr-workspace-launcher	Workspace Launcher	0.1.0	0.7.0	macos	herdr-plugin.toml	Open a searchable directory picker for new workspaces	https://github.com/ImArtisann/herdr-workspace-launcher
iuhoay/herdr-break-pane	1	JavaScript	iuhoay.break-pane	herdr-break-pane	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Move the focused pane into a new tab without churning single-pane tabs	https://github.com/iuhoay/herdr-break-pane
JacquesvanWyk/herdr-keys	1	Shell	herdr-keys	herdr-keys	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Fuzzy-searchable keybinding cheatsheet with packs, auto-discovery (herdr/aerospace/ghostty/nvim/tmux), personal overrides, favorites, and edit-config (stow-friendly).	https://github.com/JacquesvanWyk/herdr-keys
jattento/herdr-multirepo	1	Python	multirepo	Herdr Multirepo	0.1.0	0.7.4	macos,linux	herdr-plugin.toml	One feature branch across many repositories, in one Herdr workspace	https://github.com/jattento/herdr-multirepo
Javamomma/herdr-scribe	1	Python	scribe	Scribe	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Live, no-recording meeting transcription: mic (+ optional call loopback) → live transcript + analyst panes; on stop, a plain meeting note, an optional policy gate, and reviewable auto-drafted artifacts. No audio file ever.	https://github.com/Javamomma/herdr-scribe
jeffarese/herdr-newtab-plus	1	Python	herdr-newtab-plus	New Tab Plus	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	New tab with a folder picker that completes real paths, and an optional agent to start	https://github.com/jeffarese/herdr-newtab-plus
jeph/herdr-pane-balancer	1	Python	herdr-pane-balancer	Balance Panes	0.5.0	0.7.5	linux,macos	herdr-plugin.toml	Keep herdr panes equally sized	https://github.com/jeph/herdr-pane-balancer
jorge-huxley/herdr-git-graph	1	Rust	herdr-git-graph	herdr-git-graph	0.1.4	0.7.0	linux,macos,windows	herdr-plugin.toml	A read-only git commit graph TUI in a Herdr split pane.	https://github.com/jorge-huxley/herdr-git-graph
jugyo/herdr-nav-history	1	JavaScript	jugyo.nav-history	Nav History	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Browser-style back/forward navigation over focus history (panes, tabs, workspaces)	https://github.com/jugyo/herdr-nav-history
kaar/herdr-fzf-url	1	Shell	kaar.fzf-url	fzf-url	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Fuzzy-find and open URLs visible in the active pane, like tmux-fzf-url.	https://github.com/kaar/herdr-fzf-url
kbrdn1/herdr-plugin-gwm	1	Shell	gwm	gwm worktrees	0.2.0	0.7.4	macos,linux	herdr-plugin.toml	Drive gwm for git worktree management from herdr — create, switch, remove, review PRs, bootstrap, exec, clean. gwm stays the source of truth; herdr adopts.	https://github.com/kbrdn1/herdr-plugin-gwm
kenchan/herdr-ghq-open-agent	1	Shell	kenchan.ghq-open-agent	ghq Open Agent	0.1.0	0.7.5	linux,macos	herdr-plugin.toml	Incrementally search ghq-managed repositories and open one in a Herdr workspace/tab, starting claude	https://github.com/kenchan/herdr-ghq-open-agent
kosuketut/herdr-remotedownloder	1	Rust	kosukeyano.remote-download	Remote File Transfer	0.4.0	0.7.0	linux,macos	herdr-plugin.toml	Transfer files between a remote Herdr pane and the connected Mac.	https://github.com/kosuketut/herdr-remotedownloder
lucasleon2107/herdr-tab-title-sync	1	Shell	tab-title-sync	Tab Title Sync	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	Tab titles from the agent conversation, agent name at start, directory on exit	https://github.com/lucasleon2107/herdr-tab-title-sync
maedana/herdr-agents-status	1	Rust	maedana.agents-status	Agents Status	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Always-on-top agent status overlay	https://github.com/maedana/herdr-agents-status
mattyan1053/herdr-compose	1	Shell	compose	Compose	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Docker Compose status and start/stop/up/down for each space	https://github.com/mattyan1053/herdr-compose
mdetweil/herdr-lazytask	1	Rust	herdr.lazytask	herdr-lazytask	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	lazytask in a herdr split pane (open/focus/toggle), plus Taskwarrior quick actions.	https://github.com/mdetweil/herdr-lazytask
mroth/herdr-jj-status	1	Shell	mroth.jj-status	jj status	0.1.1	0.7.5	macos,linux	herdr-plugin.toml	Show the Jujutsu bookmark and status for jj workspaces in the spaces sidebar	https://github.com/mroth/herdr-jj-status
napalmpapalam/herdr-quotr	1	Rust	napalmpapalam.quotr	quotr	0.1.1	0.8.0	macos,linux	herdr-plugin.toml	Quote an agent's own response back at it, from a herdr popup.	https://github.com/napalmpapalam/herdr-quotr
ndom91/herdr-ai-tab-name	1	Python	ndomino.ai-tab-name	AI Tab Name	0.1.0	0.7.5	macos,linux	herdr-plugin.toml	Rename focused Herdr tabs from pane context using a local LLM.	https://github.com/ndom91/herdr-ai-tab-name
Numbered-com/herdr-ports	1	Shell	numbered.ports	Ports	0.1.2	0.7.4	linux,macos	herdr-plugin.toml	Active dev servers per Space: sidebar $ports badge + kill popup	https://github.com/Numbered-com/herdr-ports
nwarwick/herdr-caffeinate	1	Shell	herdr-caffeinate	Herdr Caffeinate	0.1.0	0.7.5	macos	herdr-plugin.toml	Prevent macOS system sleep while Herdr agents are working	https://github.com/nwarwick/herdr-caffeinate
nytafar/herdr-cache-ttl	1	Rust	cache-ttl	Cache TTL Countdown	0.3.2	0.7.5	linux,macos	herdr-plugin.toml	Live prompt-cache countdown per agent pane	https://github.com/nytafar/herdr-cache-ttl
pedroloch/herdr-undo-close	1	Python	undo-close	Undo Close	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	Reopen a closed tab or pane, Chrome-style: label, split layout, cwds, position, and the editor or agent that was running in it.	https://github.com/pedroloch/herdr-undo-close
playsthisgame/herdr-api-client	1	Shell	herdr-api-client	herdr-api-client	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	HTTP/REST API client in a split pane or tab: browse, run and test requests without leaving herdr.	https://github.com/playsthisgame/herdr-api-client
plotarmordev/tendwire	1	Python	plotarmordev.tendwire	Tendwire	0.1.0rc5	0.7.0	linux	herdr-plugin.toml	Local API for integrating Herdr coding agents with apps, automations, and local systems	https://github.com/plotarmordev/tendwire
ppggff/herdr-plugin	1	Python	ppggff.input-method-keeper	Input Method Keeper	0.4.0	0.7.4	macos	input-method-keeper/herdr-plugin.toml	Keep macOS input sources stable per Herdr pane.	https://github.com/ppggff/herdr-plugin
quan-meng/herdr-slurm	1	Python	io.github.quan-meng.herdr-slurm	Slurm Workspaces	0.1.4	0.7.0	linux	herdr-plugin.toml	Create Herdr workspaces for new Slurm allocations	https://github.com/quan-meng/herdr-slurm
quantk/herdr-review	1	JavaScript	quantick.hunk-review	Native Review	0.2.7	0.7.0	linux,macos	herdr-plugin.toml	Review agent-authored working-tree changes and draft human feedback for the agent.	https://github.com/quantk/herdr-review
ramarivera/herdr-pretty-which	1	Rust	ramarivera.pretty-which	Pretty Which	0.1.5	0.7.0	linux,macos	herdr-plugin.toml	A tasteful which-key style training overlay for Herdr keybindings.	https://github.com/ramarivera/herdr-pretty-which
RenKoya1/herdr-approve-all	1	Shell	renkoya1.approve-all	Approve All	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Approve every blocked agent at once: sends Enter to all blocked panes, accepting the highlighted default (Yes) on each pending permission prompt.	https://github.com/RenKoya1/herdr-approve-all
retroaalto/herdr-smartnav	1	Go	smartnav	Smart Pane Navigation	0.1.2	0.7.5	linux,macos	herdr-plugin.toml	Direction-aware pane navigation that remembers the last active pane per split (tmux-style)	https://github.com/retroaalto/herdr-smartnav
robert-flo/herdr-terminal-file-manager	1	Shell	robert-flo.elio	File Explorer	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Open elio (terminal file manager) in a herdr pane	https://github.com/robert-flo/herdr-terminal-file-manager
RooseveltAdvisors/herdr-leap	1	Rust	RooseveltAdvisors.herdr-leap	herdr-leap	0.2.1	0.7.0	linux,macos	herdr-plugin.toml	tmux-jump-inspired word-start copy-mode jump for Herdr; credits schasse/tmux-jump	https://github.com/RooseveltAdvisors/herdr-leap
rotemb-wond/herdr-copy-hints	1	Python	rotemb-wond.copy-hints	Copy Hints	1.1.1	0.7.0	linux,macos	herdr-plugin.toml	Copy paths, commits, URLs, and identifiers using in-pane keyboard hints	https://github.com/rotemb-wond/herdr-copy-hints
Sawakee/herdr-imebox	1	Rust	herdr-imebox	herdr-imebox	0.1.3	0.7.0	linux,macos	herdr-plugin.toml	IME-friendly pop-up text box for typing Japanese/CJK into AI agent panes.	https://github.com/Sawakee/herdr-imebox
shoaibkhanz/herdr-nav-plus	1	JavaScript	herdr-nav-plus	Herdr Nav Plus	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Ctrl+h/j/k/l navigation that flows past herdr panes into workspaces. Vim-aware; the vertical axis (Ctrl+j/Ctrl+k) walks the workspace sidebar and wraps at both ends.	https://github.com/shoaibkhanz/herdr-nav-plus
speardragon/herdr-agents-history	1	TypeScript	cdragon.agent-tool-history	Agent Tool History	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	See which tools each agent in your herdr session has been using	https://github.com/speardragon/herdr-agents-history
speardragon/herdr-ask-inbox	1	JavaScript	cdragon.ask-inbox	Ask Inbox	1.0.0	0.7.5	macos,linux	herdr-plugin.toml	Collect blocked Claude AskUserQuestion prompts from every herdr workspace into one popup, answer them in place, and never send an answer to the wrong agent.	https://github.com/speardragon/herdr-ask-inbox
steig/worktender	1	Go	steig.worktender	worktender	0.9.0	0.7.5	linux,macos,windows	herdr-plugin.toml	One command from a GitHub issue to a coding agent working on it in its own worktree.	https://github.com/steig/worktender
StructuPath/herdr-conductor	1	JavaScript	structupath.conductor	Conductor	0.3.0	0.7.5	macos,linux	herdr-plugin.toml	Stage 2 attended strict task/report contracts and exact-SHA review gates for Herdr 0.7.5	https://github.com/StructuPath/herdr-conductor
suisya-systems/herdr-agent-office	1	Python	herdr-agent-office	Agent Office	0.1.0	0.7.5	linux,macos,windows	herdr-plugin.toml	Your agent fleet as a pixel-art office: see who's working, who's stuck, jump to them.	https://github.com/suisya-systems/herdr-agent-office
thuanlm215/advanced-herdr-file-viewer	1	Rust	advanced-herdr-file-viewer	advanced-herdr-file-viewer	1.20.0	0.7.0	linux,macos,windows	herdr-plugin.toml	A git-aware, read-only file viewer: a keyboard-driven TUI in a herdr split pane.	https://github.com/thuanlm215/advanced-herdr-file-viewer
timofey-TK/herdr-open-in-editor	1	Python	timofey-tk.open-in-editor	Open in Editor	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Open the active workspace checkout in a local or remote-aware editor	https://github.com/timofey-TK/herdr-open-in-editor
tiny-send/tinysend-herdr	1	JavaScript	tinysend.herdr	tinysend → herdr	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	Email yourself when an agent blocks, finishes, or fails — and reply to unblock it.	https://github.com/tiny-send/tinysend-herdr
tomasvarga/herdr-sniffr	1	Shell	sniffr	herdr-sniffr	0.8.0	0.7.0	macos,linux	herdr-plugin.toml	AI pre-review: point it at a GitHub PR → opens it in your terminal reviewer (tuicr/hunk) and an agent drops draft comments on the risky lines before you read. Comments stay local until you submit.	https://github.com/tomasvarga/herdr-sniffr
Tomatio13/herdr-google-calendar	1	Shell	herdr-gog-calendar	herdr-gog-calendar	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	fzf-driven Google Calendar panel in a herdr pane.	https://github.com/Tomatio13/herdr-google-calendar
Tomatio13/herdr-google-gmail	1	Shell	herdr-google-gmail	herdr-google-gmail	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	fzf-driven Gmail browser and background notification plugin.	https://github.com/Tomatio13/herdr-google-gmail
toyamarinyon/herdr-thread-to-tab	1	Rust	toyamarinyon.thread-to-tab	Thread to Tab	0.1.5	0.7.0	macos,linux	herdr-plugin.toml	Keep single-pane tab labels in sync with coding-agent terminal titles.	https://github.com/toyamarinyon/herdr-thread-to-tab
Tyru5/herdr-agent-state	1	Rust	herdr-agent-state	herdr-agent-state	1.1.0	0.7.4	linux,macos	herdr-plugin.toml	Realtime status pane: what each agent in this workspace is working on.	https://github.com/Tyru5/herdr-agent-state
ugurtarlig/herdr-pane-picker	1	Python	ugurtarlig.pane-picker	Pane Picker	0.1.1	0.7.4	macos	herdr-plugin.toml	Focus a Herdr pane by typing its on-pane character hint	https://github.com/ugurtarlig/herdr-pane-picker
usrivastava92/herdr-rovo-dev	1	Shell	rovo-dev.detector	Rovo Dev Detector	1.2.2	0.7.0	macos,linux	herdr-plugin.toml	Detect Rovo CLI and Rovo Dev CLI panes and report them as Herdr agents	https://github.com/usrivastava92/herdr-rovo-dev
voodootikigod/adlc-herdr	1	JavaScript	adlc	ADLC	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Agentic Development Lifecycle: per-pane phase/ticket/gate status, backlog board, gate actions, and fleet run observability.	https://github.com/voodootikigod/adlc-herdr
x0d7x/herdr-fzf-url	1	Go	url.fzf-picker	FZF URL Picker	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Scan terminal panes for URLs and interactively pick one with fzf	https://github.com/x0d7x/herdr-fzf-url
y-hirakaw/herdr-launcher-pane	1	Python	launcher-pane	Launcher Pane	0.4.0	0.7.4	macos,windows,linux	herdr-plugin.toml	Click-to-launch Finder / Explorer / VS Code (and anything else you configure) per Herdr workspace, no keybinding to remember	https://github.com/y-hirakaw/herdr-launcher-pane
yigitkg/herdr-open-local-paths	1	Python	yigitkg.local-path-actions	Local Path Actions	0.4.0	0.7.4	linux	herdr-plugin.toml	Open, reveal, copy, or choose local paths detected in Herdr terminal output.	https://github.com/yigitkg/herdr-open-local-paths
yuuta1219/herdr-gekiatsu-plugin	1	Python	gekiatsu.claude-slot	Claude Slot	1.0.0	0.7.0	macos,linux	herdr-plugin.toml	Claude Code usage counter, but it's a pachislot machine. One spin per Claude interaction; daily reset at 10:00 JST; jackpot at 1/99.	https://github.com/yuuta1219/herdr-gekiatsu-plugin
yxhta/herdr-agents-picker	1	Rust	yxhta.agents-picker	Agents Picker	0.1.0	0.7.2	macos,linux	herdr-plugin.toml	Workspace-picker-style fuzzy picker for Herdr-detected agent panes	https://github.com/yxhta/herdr-agents-picker
3mmdrew/herdr-layout	0	Lua	herdr-layout	Layouts	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Define and load workspace layouts from Lua config files	https://github.com/3mmdrew/herdr-layout
a-curious-coder/herdr-iris	0	Shell	cmc.iris	Iris	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Fuzzy cheatsheet of AI agent skills/rules — scoped to the focused pane's agent when one is detected	https://github.com/a-curious-coder/herdr-iris
ablause/herdr-flutter	0	Dart	ablause.herdr-flutter	Herdr Flutter	0.3.0	0.7.0	macos,linux	herdr-plugin.toml	Watch, restart and inspect a running Flutter app in a sidebar beside the agent. Attaches to the Dart VM Service of whatever flutter run is already going in the workspace, shows its logs, its structured errors and its widget tree, hot reloads it, and hands any of that to the agent as a report.	https://github.com/ablause/herdr-flutter
abrose/herdr-numbered-workspaces	0	Shell	numbered-workspaces	Numbered Workspaces	0.3.0	0.7.4	linux,macos	herdr-plugin.toml	Mirror each space's ordinal into a metadata token so the sidebar can show it.	https://github.com/abrose/herdr-numbered-workspaces
abtris/herdr-plugin-jira-pr	0	Shell	abtris.jira-pr	Jira PR	0.1.0	0.8.0	macos,linux	herdr-plugin.toml	Show the Jira issue linked to the current branch's pull request, and flag when they disagree	https://github.com/abtris/herdr-plugin-jira-pr
